Timestamp,M1,M2,C1,C2
18554,1,-1,7,1
18561,0,-1,7,1
18567,1,-1,7,1
18573,0,-1,7,1
18579,0,-1,7,1
18585,1,-1,7,1
18591,1,-1,7,1
18597,0,-1,7,1
18603,0,-1,7,1
18609,1,-1,7,1
18615,1,-1,7,1
18621,0,-1,7,1
18627,0,-1,7,1
18632,1,-1,7,1
18638,1,-1,7,1
18645,0,-1,7,1
18651,0,-1,7,1
18657,1,-1,7,1
18663,1,-1,7,1
18669,0,-1,7,1
18675,0,-1,6,1
18680,1,-1,6,1
18687,0,-1,6,1
18693,1,-1,6,1
18699,0,-1,6,1
18705,0,-1,6,1
18711,0,-1,6,1
18717,1,-1,6,1
18723,0,-1,6,1
18729,0,-1,6,1
18735,1,-1,6,1
18741,0,-1,6,1
18746,0,-1,6,1
18752,0,-1,6,1
18758,1,-1,6,1
18765,1,-1,6,1
18770,0,-1,6,1
18776,0,-1,6,1
18783,1,-1,6,1
18788,1,-1,6,1
18794,1,-1,6,1
18800,0,-1,5,1
18806,0,-1,5,1
18813,0,-1,5,1
18819,0,-1,5,1
18825,1,-1,5,1
18831,0,-1,5,1
18837,0,-1,5,1
18843,0,-1,5,1
18848,0,-1,5,1
18854,0,-1,5,1
18861,0,-1,5,1
18866,0,-1,5,1
18872,1,-1,5,1
18879,0,-1,5,1
18884,0,-1,5,1
18890,1,-1,5,1
18896,0,-1,5,1
18903,0,-1,5,1
18908,1,-1,5,1
18914,1,-1,5,1
18920,1,-1,5,1
18926,0,-1,5,1
18933,0,-1,5,1
18939,0,-1,5,1
18945,0,-1,5,1
18951,0,-1,5,1
18957,0,-1,5,1
18963,1,-1,5,1
18968,0,-1,5,1
18974,0,-1,5,1
18980,0,-1,5,1
18987,0,-1,5,1
18992,0,-1,5,1
18998,1,-1,5,1
19004,1,-1,5,1
19010,0,-1,5,1
19017,0,-1,5,1
19023,0,-1,5,1
19028,0,-1,5,1
19034,0,-1,5,1
19041,1,-1,5,1
19047,1,-1,5,1
19053,0,-1,5,1
19058,0,-1,5,1
19065,0,-1,5,1
19070,0,-1,5,1
19077,1,-1,5,1
19083,1,-1,5,1
19089,0,-1,5,1
19095,0,-1,5,1
19101,0,-1,5,1
19107,0,-1,5,1
19112,0,-1,5,1
19118,0,-1,5,1
19124,0,-1,5,1
19130,1,-1,5,1
19136,1,-1,5,1
19142,1,-1,5,1
19149,1,-1,5,1
19154,0,-1,5,1
19160,0,-1,5,1
19166,0,-1,5,1
19172,1,-1,5,1
19178,0,-1,5,1
19184,0,-1,5,1
19190,1,-1,5,1
19196,1,-1,5,1
